filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141020,12ConPTHRep2_unk-0006_10202014_14.qgd,TIC,1951.766217084136,PTH,12C,2014-10-20,2,0,8.562697902865817e-4,2.336890809164311e-4,0,0,2.336890809164311e-4,0.23368908091643112
141020,13CelPTHRep2_unk-0007_10202014_15.qgd,TIC,1808.2209377007064,PTH,13C,2014-10-20,2,0,7.932942734452737e-4,2.1650210221202414e-4,0,0,2.1650210221202414e-4,0.21650210221202415
141020,13XylPTHRep2_unk-0008_10202014_16.qgd,TIC,1315.350032113038,PTH,13X,2014-10-20,2,0,5.770642438076012e-4,1.574896303652147e-4,0,0,1.574896303652147e-4,0.15748963036521468
141020,H2OPTHRep2_unk-0009_10202014_17.qgd,TIC,1727.7456647398844,PTH,H2O,2014-10-20,2,0,7.579885362630997e-4,2.068666282448555e-4,0,0,2.068666282448555e-4,0.2068666282448555
141020,12ConPTHRep3_unk-0010_10202014_18.qgd,TIC,1042.8387925497752,PTH,12C,2014-10-20,3,0,4.567373615982847e-4,1.2465058964228578e-4,0,0,1.2465058964228578e-4,0.12465058964228579
141020,13CelPTHRep3_unk-0011_10202014_19.qgd,TIC,1044.7655748233783,PTH,13C,2014-10-20,3,0,4.575812441411158e-4,1.2488089805450902e-4,0,0,1.2488089805450902e-4,0.12488089805450903
141020,13XylPTHRep3_unk-0012_10202014_20.qgd,TIC,1016.1207450224791,PTH,13X,2014-10-20,3,0,4.450355236710267e-4,1.2145697965945699e-4,0,0,1.2145697965945699e-4,0.12145697965945698
141020,H2OPTHRep3_unk-0013_10202014_21.qgd,TIC,1059.4733461785486,PTH,H2O,2014-10-20,3,0,4.640228808847265e-4,1.2663891893447966e-4,0,0,1.2663891893447966e-4,0.12663891893447965
141020,12ConPTHRep4_unk-0014_10202014_22.qgd,TIC,1188.3750802825948,PTH,12C,2014-10-20,4,0,5.20478623000127e-4,1.420465517122137e-4,0,0,1.420465517122137e-4,0.1420465517122137
141020,13CelPTHRep4_unk-0015_10202014_23.qgd,TIC,1154.1425818882467,PTH,13C,2014-10-20,4,0,5.054856431558278e-4,1.3795473892171432e-4,0,0,1.3795473892171432e-4,0.1379547389217143
141020,13XylPTHRep4_unk-0016_10202014_24.qgd,TIC,1207.514450867052,PTH,13X,2014-10-20,4,0,5.288611895922492e-4,1.4433428194029777e-4,0,0,1.4433428194029777e-4,0.14433428194029777
141020,H2OPTHRep4_unk-0017_10202014_25.qgd,TIC,1112.9736673089274,PTH,H2O,2014-10-20,4,0,4.874546861573366e-4,1.3303381584721133e-4,0,0,1.3303381584721133e-4,0.13303381584721133
141020,12ConNTHRep1_unk-0018_10202014_26.qgd,TIC,1062.2350674373795,NTH,12C,2014-10-20,1,0,4.651173660438241e-4,1.2693762062150355e-4,0,0,1.2693762062150355e-4,0.12693762062150354
